Krueng Aceh,95.28,5.68
Krueng Woyla,95.92,4.32
Krueng Jamboaye,97.68,5.12
Belawan,98.72,3.84
Simpangkanan,97.76,2.24
Asahan,99.92,3.04
Musi,104.96,-2.24
Banyuasin,104.96,-2.16
Batang Arau,100.32,-0.96
Air Alas,102.72,-4.32
Siak,101.92,1.68
Kampar,103.2,0.8
Rokan,100.72,2.32
Batam,103.92,1.2
Tanjung Pinang,104.4,0.88
Berbak,104.16,-0.96
Batang Hari,104.24,-0.96
Way Bandar Lampung,105.28,-5.6
Way Sekampung,105.92,-5.36
Way Seputih,105.92,-4.64
Cerucuk,107.6,-2.72
Rangkui,106.24,-2.08
Kapuas,109.04,-0.08
Sambas,108.88,1.12
Mahakam,117.6,-0.32
Barito,114.48,-3.52
Kumai,111.76,-2.96
Sembakung,117.84,3.6
Cibaliung,105.76,-6.88
Cisadane,106.64,-6
Ciujung,106.32,-5.92
Ciliwung,106.8,-6.08
Citarum,106.96,-5.92
Cimandiri,106.48,-7.04
Cimanuk,108.24,-6.24
Serayu,109.12,-7.76
Kanal Barat Semarang,110.4,-6.88
Progo,110.16,-8
Bengawan solo,112.56,-6.8
Bedadung,113.52,-8.48
Kali Baru,114.08,-8.72
Tukad Mati,115.28,-8.72
Tukad Mendaum,114.88,-8.16
Kupang,124.24,-10.16
Brang Biji,117.36,-8.4
Marisa,121.92,0.4
Paguyaman,122.64,0.4
Bone,123.04,0.48
Karana,119.12,-2.24
Lariang,119.28,-1.44
Poso,120.8,-1.28
Bongka,121.36,-0.96
Laa,121.6,-2.08
Kombi,125.12,1.36
Tondano,124.8,1.52
Konoweha,121.28,-4
Lasolo,122.32,-3.44
Sampara,122.48,-3.76
Jeneberang,119.36,-5.28
Yaro,128.08,1.6
Kali Ternate,127.36,0.88
Wai Ruhu,128.08,-3.76
Manokwari,131.44,-0.72
Jayapura,140.88,-2.56
Wami,135.25,-3.36
Maro,140.24,-8.48
Sanggase,139.84,-8.16
Klasaman,131.44,-0.72
